"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 15:00:24 EET 2024","Mon Nov 25 15:00:27 EET 2024","2859","","Login trials ","","","","Shuld try to login with different credentials",""
"passed","Mon Nov 25 15:02:09 EET 2024","Mon Nov 25 15:02:14 EET 2024","5765","","Login trials ","","","","Shuld try to login with different credentials",""
